,P-ASP Date,Building / Address,Floor,Unit,GFA (ft??),SA (ft??),Leased / Sold,Price(HK$),Price/ft2(GFA),Price/ft2(SA),Source
41,22/4/2022,Tseung Kwan O??HIN MING COURT (HOS),H,12,563,425,Leased ,"12,800",@23,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
42,22/4/2022,Aberdeen??YUE FAI COURT BLK B (HOS)               ,L,4,502,419,Leased ,"12,500",@25,@30,GOOD PROFIT PROPERTY AGENCY                           
43,21/4/2022,Aberdeen??ABERDEEN CTR BLK J KONG HING COURT      ,L,6,534,448,Leased ,"14,000",@26,@31,GOOD PROFIT PROPERTY AGENCY                           
44,21/4/2022,Tseung Kwan O??CHUNG MING COURT BLK B FAI MING HSE (HOS,M,3,515,401,Leased ,"12,500",@24,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
45,19/4/2022,Tseung Kwan O??TONG MING COURT BLK C (HOS),H,15,570,426,Leased ,"13,000",@23,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
46,18/4/2022,Tseung Kwan O??YAN MING COURT BLK D (HOS),H,6,514,401,Leased ,"12,000",@23,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
47,18/4/2022,Tseung Kwan O??PARK CENTRAL PH 02 TWR 02,H,A,617,465,Leased ,"16,800",@27,@36,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
48,18/4/2022,Tseung Kwan O??OCEAN WINGS TWR 07A,L,G,,368,Leased ,"16,000",,@43,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
49,17/4/2022,Yau Tong??LAGUNA CITY PH 04 BLK 09                ,1,         D,857,687,Leased ,"17,000",@20,@25,CENTURY 21 HOME-LY PROPERTY AGENCY                    
50,17/4/2022,Tseung Kwan O??PARK CENTRAL PH 03 TWR 13,H,A,"1,187",905,Leased ,"30,500",@26,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
51,17/4/2022,Tseung Kwan O??METRO CITY PH 02 TWR 05,H,B,904,644,Leased ,"22,500",@25,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
52,17/4/2022,Tseung Kwan O??BEVERLY GDN PH 01 BLK 03 (PSPS),M,B,566,484,Leased ,"14,200",@25,@29,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
53,16/4/2022,Tseung Kwan O??METRO CITY PH 01 TWR 02,L,H,732,526,Leased ,"17,200",@23,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
54,16/4/2022,Tseung Kwan O??TONG MING COURT BLK B (HOS),H,14,570,426,Leased ,"12,000",@21,@28,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
55,15/4/2022,Tseung Kwan O??KING MING COURT BLK A HEI KING HSE (HOS),H,6,710,554,Leased ,"13,500",@19,@24,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
56,15/4/2022,Tseung Kwan O??EAST POINT CITY BLK 02,H,C,588,463,Leased ,"16,000",@27,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
57,15/4/2022,Tseung Kwan O??METRO CITY PH 03 THE METROPOLIS TWR 01,H,F,866,626,Leased ,"18,000",@21,@29,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
58,15/4/2022,Aberdeen??COBLE COURT                             ,H,         F,324,269,Leased ,"11,200",@35,@42,GOOD PROFIT PROPERTY AGENCY                           
59,14/4/2022,Wong Chuk Hang??JUMBO COURT                             ,H,         K,458,401,Leased ,"13,000",@28,@32,GOOD PROFIT PROPERTY AGENCY                           
60,9/4/2022,Tseung Kwan O??VERBENA HTS BLK 03 (FSS),H,C,650,485,Leased ,"14,000",@22,@29,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
61,9/4/2022,Tseung Kwan O??METRO CITY PH 02 TWR 09,H,G,515,363,Leased ,"13,000",@25,@36,Century 21 (Tseung Kwan O)
62,9/4/2022,Tseung Kwan O??VERBENA HTS BLK 05 (FSS),H,F,685,485,Leased ,"14,300",@21,@29,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
63,9/4/2022,Tseung Kwan O??PO MING COURT BLK B (HOS),H,5,281,211,Leased ,"9,200",@33,@44,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
64,9/4/2022,Tseung Kwan O??RADIANT TWRS BLK 02 (SCHS),H,G,788,611,Leased ,"16,800",@21,@27,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
65,7/4/2022,Yau Tong??LAGUNA CITY PH 03 BLK 36                ,20,         C,644,517,Leased ,"17,700",@27,@34,CENTURY 21 HOME-LY PROPERTY AGENCY                    
66,7/4/2022,Yau Tong??LAGUNA CITY PH 03 BLK 36                ,6,         E,861,687,Leased ,"22,000",@26,@32,CENTURY 21 HOME-LY PROPERTY AGENCY                    
67,7/4/2022,Tseung Kwan O??TSEUNG KWAN O PLAZA PH 01 TWR 3A,L,C,685,496,Leased ,"19,200",@28,@39,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
68,7/4/2022,Tseung Kwan O??ON NING GDN BLK 01 (PSPS),M,D,638,538,Leased ,"16,500",@26,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
69,7/4/2022,Tseung Kwan O??GRANDIOSE BLK 03,M,E,628,470,Leased ,"15,500",@25,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
70,7/4/2022,Aberdeen??H BONAIRE                               ,M,         A,,675,Leased ,"26,500",,@39,GOOD PROFIT PROPERTY AGENCY                           
71,7/4/2022,Tseung Kwan O??LOHAS PARK PH 06 LP6 TWR 05,M,F,,348,Leased ,"12,500",,@36,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
72,6/4/2022,Aberdeen??YUE ON COURT BLK D (HOS)                ,H,4,604,493,Leased ,"15,800",@26,@32,GOOD PROFIT PROPERTY AGENCY                           
73,6/4/2022,Tseung Kwan O??LOHAS PARK PH 06 LP6 TWR 03,H,G,,377,Leased ,"13,800",,@37,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
74,6/4/2022,Tseung Kwan O??WELL ON GDN BLK 02,M,E,488,354,Leased ,"12,500",@26,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
75,5/4/2022,Tseung Kwan O??VERBENA HTS BLK 05 (FSS),H,A,511,360,Leased ,"12,000",@23,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
76,5/4/2022,Tseung Kwan O??PARK CENTRAL PH 02 TWR 12,H,D,620,466,Leased ,"15,800",@25,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
77,4/4/2022,Tseung Kwan O??THE WINGS IIIA TWR 05A,H,C,,541,Leased ,"20,500",,@38,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
78,4/4/2022,Tseung Kwan O??THE WINGS TWR 03 LUNA DIAMOND,H,E,697,539,Leased ,"20,000",@29,@37,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
79,4/4/2022,Tseung Kwan O??THE WINGS II TWR 05B,M,C,698,551,Leased ,"19,000",@27,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
80,3/4/2022,Yau Tong??LAGUNA CITY PH 02 BLK 24                ,24,         E,857,687,Leased ,"18,500",@22,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
81,3/4/2022,Tseung Kwan O??VERBENA HTS BLK 04 (FSS),H,H,494,348,Leased ,"11,800",@24,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
82,3/4/2022,Aberdeen??TOHO COURT                              ,??????,         A,493,313,Leased ,"12,500",@25,@40,GOOD PROFIT PROPERTY AGENCY                           
83,2/4/2022,Tseung Kwan O??YING MING COURT BLK E MING ON HSE (HOS),L,9,710,554,Leased ,"14,500",@20,@26,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
84,2/4/2022,Tseung Kwan O??METRO CITY PH 03 THE METROPOLIS TWR 01,H,B,573,406,Leased ,"13,000",@23,@32,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
85,2/4/2022,Aberdeen??YUE ON COURT BLK A (HOS)                ,H,2,575,469,Leased ,"13,500",@23,@29,GOOD PROFIT PROPERTY AGENCY                           
86,2/4/2022,Tseung Kwan O??METRO CITY PH 03 THE METROPOLIS TWR 04,H,B,573,406,Leased ,"14,500",@25,@36,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
87,1/4/2022,Aberdeen??COMMAND TWR                             ,H,1,532,415,Leased ,"14,000",@26,@34,GOOD PROFIT PROPERTY AGENCY                           
88,31/3/2022,Lam Tin??SCENEWAY GDN BLK 04                     ,24,         F,785,612,Leased ,"19,000",@24,@31,CENTURY 21 HOME-LY PROPERTY AGENCY                    
89,31/3/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 23    ,2,         G,644,517,Leased ,"13,800",@21,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
90,30/3/2022,Lam Tin??SCENEWAY GDN BLK 07                     ,14,         C,680,537,Leased ,"16,000",@24,@30,CENTURY 21 HOME-LY PROPERTY AGENCY                    
91,30/3/2022,Yau Tong??LAGUNA CITY PH 01 BLK 07                ,1,         G,639,517,Leased ,"13,500",@21,@26,CENTURY 21 HOME-LY PROPERTY AGENCY                    
92,30/3/2022,Tseung Kwan O??TSEUNG KWAN O PLAZA PH 01 TWR 3A,H,A,627,470,Leased ,"15,000",@24,@32,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
93,30/3/2022,Tseung Kwan O??METRO CITY PH 01 TWR 02,H,G,511,364,Leased ,"12,600",@25,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
94,30/3/2022,Tseung Kwan O??CHOI MING COURT BLK B (HOS),H,3,659,506,Leased ,"14,000",@21,@28,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
95,29/3/2022,Tseung Kwan O??METRO CITY PH 03 THE METROPOLIS TWR 01,H,C,573,406,Leased ,"12,600",@22,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
96,29/3/2022,Aberdeen??WATERFRONT SOUTH BLK 02                 ,M,         C,688,479,Leased ,"15,500",@23,@32,GOOD PROFIT PROPERTY AGENCY                           
97,29/3/2022,Tseung Kwan O??RADIANT TWRS BLK 02 (SCHS),M,B,621,481,Leased ,"12,800",@21,@27,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
98,29/3/2022,Aberdeen??MARINA HABITAT BLK 01 (SCHS)            ,H,         B,559,427,Leased ,"16,200",@29,@38,GOOD PROFIT PROPERTY AGENCY                           
99,28/3/2022,Tseung Kwan O??TSEUNG KWAN O PLAZA PH 01 TWR 03,L,B,782,567,Leased ,"20,000",@26,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
100,28/3/2022,Aberdeen??YEN CHING BLDG                          ,H,         C,393,300,Leased ,"11,300",@29,@38,GOOD PROFIT PROPERTY AGENCY                           
101,27/3/2022,Tseung Kwan O??METRO CITY PH 02 TWR 11,L,E,750,538,Leased ,"17,500",@23,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
102,27/3/2022,Tseung Kwan O??HONG SING GDN BLK 05 (PSPS),H,B,656,589,Leased ,"12,000",@18,@20,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
103,27/3/2022,Aberdeen??VENG HING MAN                           ,M,         C,380,321,Leased ,"10,200",@27,@32,GOOD PROFIT PROPERTY AGENCY                           
104,27/3/2022,Aberdeen??ON TAI BLDG                             ,H,         C,384,273,Leased ,"10,000",@26,@37,GOOD PROFIT PROPERTY AGENCY                           
105,27/3/2022,Aberdeen??WATERFRONT SOUTH BLK 02                 ,H,         D,688,479,Leased ,"15,500",@23,@32,GOOD PROFIT PROPERTY AGENCY                           
106,27/3/2022,Tseung Kwan O??YU MING COURT PH 02 BLK A (HOS),H,14,593,433,Leased ,"13,000",@22,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
107,26/3/2022,Tseung Kwan O??METRO CITY PH 01 TWR 03,H,D,584,420,Leased ,"14,000",@24,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
108,26/3/2022,Tseung Kwan O??FINERY PARK BLK 01,H,B,757,556,Leased ,"15,500",@20,@28,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
109,25/3/2022,Yau Tong??LAGUNA CITY PH 01 BLK 06                ,6,         C,639,517,Leased ,"16,000",@25,@31,CENTURY 21 HOME-LY PROPERTY AGENCY                    
110,25/3/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 21    ,6,         G,644,517,Leased ,"13,800",@21,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
111,25/3/2022,Tseung Kwan O??LOHAS PARK PH 06 LP6 TWR 05,M,H,,347,Leased ,"13,200",,@38,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
112,25/3/2022,Tseung Kwan O??KING LAM EST BLK 08 KING YUNG HSE,H,21,,443,Leased ,"13,500",,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
113,25/3/2022,Tseung Kwan O??PARK CENTRAL PH 02 TWR 10,H,D,527,384,Leased ,"15,000",@28,@39,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
114,24/3/2022,Tseung Kwan O??GRANDIOSE BLK 02,M,G,578,436,Leased ,"15,000",@26,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
115,24/3/2022,Tseung Kwan O??METRO CITY PH 03 THE METROPOLIS TWR 02,H,A,644,470,Leased ,"15,500",@24,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
116,23/3/2022,Lam Tin??SCENEWAY GDN BLK 06                     ,23,         B,680,537,Leased ,"17,000",@25,@32,CENTURY 21 HOME-LY PROPERTY AGENCY                    
117,22/3/2022,Lam Tin??SCENEWAY GDN BLK 07                     ,5,         A,680,537,Leased ,"15,000",@22,@28,CENTURY 21 HOME-LY PROPERTY AGENCY                    
118,22/3/2022,Yau Tong??LAGUNA CITY PH 04 BLK 19                ,9,         C,664,522,Leased ,"16,000",@24,@31,CENTURY 21 HOME-LY PROPERTY AGENCY                    
119,22/3/2022,Tseung Kwan O??METRO CITY PH 02 TWR 07,L,E,617,441,Leased ,"15,800",@26,@36,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
120,22/3/2022,Tseung Kwan O??METRO CITY PH 02 TWR 10,H,H,750,538,Leased ,"18,300",@24,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
121,22/3/2022,Aberdeen??HUNG FOOK COURT                         ,H,         B,464,300,Leased ,"12,500",@27,@42,GOOD PROFIT PROPERTY AGENCY                           
122,22/3/2022,Tseung Kwan O??WELL ON GDN BLK 04,L,F,688,502,Leased ,"15,000",@22,@30,Century 21 (Tseung Kwan O)
123,21/3/2022,Yau Tong??LAGUNA CITY PH 02 BLK 29                ,13,         F,639,517,Leased ,"14,500",@23,@28,CENTURY 21 HOME-LY PROPERTY AGENCY                    
124,21/3/2022,Tseung Kwan O??METRO CITY PH 02 TWR 10,L,C,516,363,Leased ,"12,500",@24,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
