,P-ASP Date,Building / Address,Floor,Unit,GFA (ft??),SA (ft??),Leased / Sold,Price(HK$),Price/ft2(GFA),Price/ft2(SA),Source
152,9/3/2022,Aberdeen??,H,F,519,386,Leased ,"13,600",@26,@35,GOOD PROFIT PROPERTY AGENCY
153,9/3/2022,Tseung Kwan O??FINERY PARK BLK 01,M,D,577,420,Leased ,"13,000",@23,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
154,9/3/2022,Tseung Kwan O??YU MING COURT PH 01 BLK B (HOS),M,15,593,438,Leased ,"13,500",@23,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
155,8/3/2022,Aberdeen??,??????,4,502,409,Leased ,"13,500",@27,@33,GOOD PROFIT PROPERTY AGENCY
156,8/3/2022,Tseung Kwan O??TSUI LAM EST BLK 02 SAU LAM HSE,M,50,,349,Leased ,"10,000",,@29,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
157,6/3/2022,Lam Tin??SCENEWAY GDN BLK 12                     ,25,         F,913,718,Leased ,"23,000",@25,@32,CENTURY 21 HOME-LY PROPERTY AGENCY                    
158,6/3/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 12    ,1,         A,939,748,Leased ,"20,000",@21,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
159,3/3/2022,Yau Tong??LAGUNA CITY PH 02 BLK 27                ,4,         C,664,522,Leased ,"17,000",@26,@33,CENTURY 21 HOME-LY PROPERTY AGENCY                    
160,3/3/2022,Tseung Kwan O??METRO CITY PH 02 TWR 10,H,E,617,441,Leased ,"16,000",@26,@36,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
161,3/3/2022,Tseung Kwan O??LOHAS PARK PH 09A MARINI TWR 03B,L,F,,356,Leased ,"13,500",,@38,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
162,2/3/2022,Lam Tin??SCENEWAY GDN BLK 07                     ,32,         A,680,537,Leased ,"15,500",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
163,2/3/2022,Aberdeen??LEI TUNG EST TUNG PING HSE              ,H,14,682,490,Leased ,"13,500",@20,@28,GOOD PROFIT PROPERTY AGENCY                           
164,2/3/2022,Aberdeen??TIN WAN COURT                           ,L,         A,820,560,Leased ,"17,000",@21,@30,GOOD PROFIT PROPERTY AGENCY                           
165,1/3/2022,Yau Tong??LAGUNA CITY PH 01 BLK 16                ,12,         B,639,517,Leased ,"15,500",@24,@30,CENTURY 21 HOME-LY PROPERTY AGENCY                    
166,1/3/2022,Yau Tong??LAGUNA CITY PH 01 BLK 08                ,22,         C,639,517,Leased ,"16,000",@25,@31,CENTURY 21 HOME-LY PROPERTY AGENCY                    
167,1/3/2022,Aberdeen??ABERDEEN HARBOUR MANS                   ,H,         A,500,400,Leased ,"11,000",@22,@28,GOOD PROFIT PROPERTY AGENCY                           
168,28/2/2022,Yau Tong??LAGUNA CITY PH 02 BLK 29                ,23,         A,932,748,Leased ,"20,000",@21,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
169,28/2/2022,Yau Tong??LAGUNA CITY PH 02 BLK 27                ,6,         C,664,522,Leased ,"15,200",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
170,28/2/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 10    ,3,         G,644,517,Leased ,"15,200",@24,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
171,28/2/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 12    ,17,         G,644,517,Leased ,"15,800",@25,@31,CENTURY 21 HOME-LY PROPERTY AGENCY                    
172,28/2/2022,Yau Tong??LAGUNA CITY PH 02 BLK 29                ,22,         F,639,517,Leased ,"16,500",@26,@32,CENTURY 21 HOME-LY PROPERTY AGENCY                    
173,28/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 02                ,22,         F,639,517,Leased ,"15,500",@24,@30,CENTURY 21 HOME-LY PROPERTY AGENCY                    
174,28/2/2022,Yau Tong??LAGUNA CITY PH 02 BLK 30                ,16,         F,639,517,Leased ,"16,000",@25,@31,CENTURY 21 HOME-LY PROPERTY AGENCY                    
175,28/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 16                ,13,         B,639,517,Leased ,"15,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
176,28/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 06                ,25,         B,639,517,Leased ,"13,000",@20,@25,CENTURY 21 HOME-LY PROPERTY AGENCY                    
177,27/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 01                ,1,         D,857,687,Leased ,"15,000",@18,@22,CENTURY 21 HOME-LY PROPERTY AGENCY                    
178,27/2/2022,Aberdeen??ON FAI BLDG                             ,L,         E,430,293,Leased ,"11,000",@26,@38,GOOD PROFIT PROPERTY AGENCY                           
179,25/2/2022,Tseung Kwan O??WELL ON GDN,L,??????,,,Leased ,"3,100",,,Century 21 (Tseung Kwan O)
180,25/2/2022,Tseung Kwan O??TSEUNG KWAN O PLAZA PH 02 TWR 08,H,C,589,429,Leased ,"17,000",@29,@40,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
181,25/2/2022,Tseung Kwan O??TSEUNG KWAN O PLAZA PH 01 TWR 02,H,G,619,453,Leased ,"16,500",@27,@36,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
182,25/2/2022,Tseung Kwan O??TSEUNG KWAN O PLAZA PH 01 TWR 3A,L,F,622,456,Leased ,"16,000",@26,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
183,25/2/2022,Aberdeen??YEE HING BLDG                           ,H,         D,437,336,Leased ,"12,500",@29,@37,GOOD PROFIT PROPERTY AGENCY                           
184,25/2/2022,Aberdeen??YEE HING BLDG                           ,H,         D,437,336,Leased ,"12,500",@29,@37,GOOD PROFIT PROPERTY AGENCY                           
185,24/2/2022,Tseung Kwan O??HONG SING GDN BLK 03 (PSPS),H,G,554,495,Leased ,"11,500",@21,@23,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
186,22/2/2022,Tseung Kwan O??BEVERLY GDN,L,??????,,,Leased ,"3,300",,,Century 21 (Tseung Kwan O)
187,22/2/2022,Tseung Kwan O??METRO CITY PH 02 TWR 11,M,F,515,363,Leased ,"14,000",@27,@39,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
188,22/2/2022,Tseung Kwan O??LOHAS PARK PH 07A MONTARA TWR 02A,H,A,,816,Leased ,"25,500",,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
189,21/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 07                ,1,         G,639,517,Leased ,"14,000",@22,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
190,21/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 04                ,19,         F,639,517,Leased ,"14,000",@22,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
191,20/2/2022,Tseung Kwan O??SERENITY PLACE BLK 02,H,C,646,503,Leased ,"13,000",@20,@26,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
192,20/2/2022,Tseung Kwan O??KING LAM EST BLK 08 KING YUNG HSE,H,21,,443,Leased ,"12,500",,@28,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
193,20/2/2022,Yau Tong??LAGUNA CITY PH 03 BLK 33                ,6,         G,644,517,Leased ,"15,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
194,19/2/2022,Tseung Kwan O??PINNACLE BLK 04 (SCHS),H,E,743,591,Leased ,"16,000",@22,@27,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
195,19/2/2022,Tseung Kwan O??SERENITY PLACE BLK 05,M,F,639,497,Leased ,"13,000",@20,@26,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
196,19/2/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 23    ,5,         G,644,517,Leased ,"15,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
197,19/2/2022,Aberdeen??KAM FUNG BLDG                           ,H,         D,530,421,Leased ,"14,500",@27,@34,GOOD PROFIT PROPERTY AGENCY                           
198,18/2/2022,Tseung Kwan O??KING LAM EST BLK 02 KING LUI HSE,L,21,,349,Leased ,"11,500",,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
199,18/2/2022,Tseung Kwan O??LOHAS PARK PH 07A MONTARA TWR 02A,H,E,,561,Leased ,"18,300",,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
200,18/2/2022,Tseung Kwan O??VERBENA HTS BLK 05 (FSS),M,A,528,372,Leased ,"13,000",@25,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
201,18/2/2022,Tseung Kwan O??PO MING COURT BLK B (HOS),L,15,283,213,Leased ,"9,200",@33,@43,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
202,18/2/2022,Tseung Kwan O??THE WINGS IIIB TWR 01A,L,D,,530,Leased ,"21,000",,@40,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
203,18/2/2022,Tseung Kwan O??THE WINGS IIIB TWR 01A,L,B,,543,Leased ,"20,000",,@37,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
204,18/2/2022,Tseung Kwan O??METRO CITY PH 03 THE METROPOLIS TWR 04,M,C,573,406,Leased ,"16,000",@28,@39,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
205,18/2/2022,Tseung Kwan O??BEVERLY GDN PH 02 BLK 08 (PSPS),L,A,504,431,Leased ,"13,500",@27,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
206,18/2/2022,Tseung Kwan O??PINNACLE BLK 02 (SCHS),H,H,568,452,Leased ,"14,500",@26,@32,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
207,18/2/2022,Tseung Kwan O??PINNACLE BLK 04 (SCHS),H,E,743,591,Leased ,"16,000",@22,@27,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
208,17/2/2022,Aberdeen??TOHO COURT                              ,L,         A,493,313,Leased ,"12,500",@25,@40,GOOD PROFIT PROPERTY AGENCY                           
209,16/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 01                ,27,         F,639,517,Leased ,"15,300",@24,@30,CENTURY 21 HOME-LY PROPERTY AGENCY                    
210,16/2/2022,Aberdeen??MARINA HABITAT BLK 02 (SCHS)            ,H,         A,801,605,Leased ,"21,000",@26,@35,GOOD PROFIT PROPERTY AGENCY                           
211,15/2/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 21    ,6,         G,644,517,Leased ,"14,600",@23,@28,CENTURY 21 HOME-LY PROPERTY AGENCY                    
212,15/2/2022,Yau Tong??LAGUNA CITY PH 02 BLK 29                ,13,         F,639,517,Leased ,"15,500",@24,@30,CENTURY 21 HOME-LY PROPERTY AGENCY                    
213,15/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 05                ,22,         B,639,517,Leased ,"15,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
214,15/2/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 23    ,23,         G,644,517,Leased ,"16,000",@25,@31,CENTURY 21 HOME-LY PROPERTY AGENCY                    
215,15/2/2022,Tseung Kwan O??HONG SING GDN BLK 03 (PSPS),L,K,554,495,Leased ,"11,500",@21,@23,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
216,14/2/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 12    ,5,         A,939,748,Leased ,"20,000",@21,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
217,14/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 07                ,1,         B,639,517,Leased ,"13,500",@21,@26,CENTURY 21 HOME-LY PROPERTY AGENCY                    
218,13/2/2022,Yau Tong??LAGUNA CITY PH 04 BLK 18                ,24,         G,639,517,Leased ,"15,300",@24,@30,CENTURY 21 HOME-LY PROPERTY AGENCY                    
219,13/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 05                ,26,         G,639,517,Leased ,"15,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
220,13/2/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 10    ,17,         H,939,748,Leased ,"20,000",@21,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
221,13/2/2022,Tseung Kwan O??TSUI LAM EST BLK 06 FAI LAM HSE,M,10,,381,Leased ,"10,000",,@26,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
222,13/2/2022,Aberdeen??ABERDEEN CTR BLK M HOI TIN COURT        ,H,2,529,438,Leased ,"14,000",@26,@32,GOOD PROFIT PROPERTY AGENCY                           
223,13/2/2022,Aberdeen??YUE FAI COURT BLK E (HOS)               ,H,3,460,384,Leased ,"13,000",@28,@34,GOOD PROFIT PROPERTY AGENCY                           
224,13/2/2022,Aberdeen??SOUTH WALK AURA                         ,M,         A,,255,Leased ,"12,800",,@50,GOOD PROFIT PROPERTY AGENCY                           
225,12/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 07                ,10,         C,639,517,Leased ,"13,600",@21,@26,CENTURY 21 HOME-LY PROPERTY AGENCY                    
226,12/2/2022,Aberdeen??,M,A,,255,Leased ,"12,800",,@50,GOOD PROFIT PROPERTY AGENCY
227,11/2/2022,Aberdeen??ABBA HSE BLK B                          ,H,4,444,325,Leased ,"11,000",@25,@34,GOOD PROFIT PROPERTY AGENCY                           
228,10/2/2022,Tseung Kwan O??TSEUNG KWAN O PLAZA PH 01 TWR 01,H,C,,,Leased ,"15,000",,,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
229,9/2/2022,Aberdeen??ABERDEEN CTR BLK H KONG TAI COURT       ,H,2,554,451,Leased ,"15,000",@27,@33,GOOD PROFIT PROPERTY AGENCY                           
230,8/2/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 12    ,4,         F,644,517,Leased ,"14,800",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
231,8/2/2022,Aberdeen??SOUTH WALK AURA                         ,??????,         F,,194,Leased ,"9,000",,@46,GOOD PROFIT PROPERTY AGENCY                           
232,7/2/2022,Aberdeen??ABERDEEN CTR BLK J KONG HING COURT      ,H,2,554,451,Leased ,"14,000",@25,@31,GOOD PROFIT PROPERTY AGENCY                           
233,7/2/2022,Tseung Kwan O??KING MING COURT BLK B FAI KING HSE (HOS),L,10,711,554,Leased ,"11,000",@15,@20,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
234,6/2/2022,Tseung Kwan O??METRO CITY PH 01 TWR 02,H,B,510,364,Leased ,"14,000",@27,@38,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
235,6/2/2022,Tseung Kwan O??PO MING COURT BLK B (HOS),H,11,704,530,Leased ,"16,000",@23,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
236,5/2/2022,Yau Tong??LAGUNA CITY PH 02 BLK 25                ,6,         C,639,517,Leased ,"14,900",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
237,5/2/2022,Yau Tong??LAGUNA CITY PH 01 BLK 07                ,12,         A,932,748,Leased ,"19,000",@20,@25,CENTURY 21 HOME-LY PROPERTY AGENCY                    
238,5/2/2022,Tseung Kwan O??LOHAS PARK PH 06 LP6 TWR 03,H,H,,307,Leased ,"16,500",,@54,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
239,5/2/2022,Tseung Kwan O??METRO CITY PH 01 TWR 01,L,C,511,364,Leased ,"13,500",@26,@37,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
240,5/2/2022,Tseung Kwan O??PARK CENTRAL PH 02 TWR 11,L,A,725,541,Leased ,"18,500",@26,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
241,5/2/2022,Tseung Kwan O??METRO CITY PH 03 THE METROPOLIS TWR 03,H,A,644,470,Leased ,"16,000",@25,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
242,4/2/2022,Tseung Kwan O??METRO CITY PH 02 TWR 07,M,B,515,363,Leased ,"14,900",@29,@41,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
243,31/1/2022,Yau Tong??LAGUNA CITY PH 01 BLK 02                ,12,         A,932,748,Leased ,"21,000",@23,@28,CENTURY 21 HOME-LY PROPERTY AGENCY                    
244,31/1/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 21    ,2,         D,863,687,Leased ,"18,500",@21,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
245,31/1/2022,Yau Tong??LAGUNA CITY PH 01 BLK 02                ,3,         E,857,687,Leased ,"19,500",@23,@28,CENTURY 21 HOME-LY PROPERTY AGENCY                    
246,31/1/2022,Yau Tong??LAGUNA CITY PH 02 BLK 26                ,20,         E,857,687,Leased ,"19,600",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
247,31/1/2022,Yau Tong??LAGUNA CITY PH 01 BLK 13                ,20,         F,639,517,Leased ,"15,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
248,31/1/2022,Yau Tong??LAGUNA CITY PH 04 BLK 18                ,16,         B,639,517,Leased ,"16,200",@25,@31,CENTURY 21 HOME-LY PROPERTY AGENCY                    
249,31/1/2022,Yau Tong??LAGUNA CITY PH 03 BLK 38                ,21,         F,644,517,Leased ,"17,000",@26,@33,CENTURY 21 HOME-LY PROPERTY AGENCY                    
250,31/1/2022,Yau Tong??LAGUNA CITY PH 04 BLK 19                ,23,         B,664,522,Leased ,"16,500",@25,@32,CENTURY 21 HOME-LY PROPERTY AGENCY                    
251,31/1/2022,Yau Tong??LAGUNA CITY PH 04 BLK 19                ,21,         C,669,522,Leased ,"17,000",@25,@33,CENTURY 21 HOME-LY PROPERTY AGENCY                    
252,31/1/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 23    ,9,         G,644,517,Leased ,"14,000",@22,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
253,31/1/2022,Yau Tong??LAGUNA CITY PH 01 BLK 02                ,22,         B,639,517,Leased ,"14,500",@23,@28,CENTURY 21 HOME-LY PROPERTY AGENCY                    
254,31/1/2022,Yau Tong??LAGUNA CITY PH 01 BLK 07                ,2,         C,639,517,Leased ,"14,000",@22,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
255,30/1/2022,Tseung Kwan O??SERENITY PLACE BLK 01,L,A,854,656,Leased ,"16,000",@19,@24,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
256,30/1/2022,Aberdeen??NING FUNG MAN                           ,H,         F,346,284,Leased ,"12,000",@35,@42,GOOD PROFIT PROPERTY AGENCY                           
257,29/1/2022,Tseung Kwan O??LOHAS PARK PH 07A MONTARA TWR 02A,H,B,,775,Leased ,"23,500",,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
258,29/1/2022,Tseung Kwan O??LOHAS PARK PH 06 LP6 TWR 03,H,K,,307,Leased ,"14,000",,@46,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
259,29/1/2022,Tseung Kwan O??SERENITY PLACE BLK 02,H,F,646,503,Leased ,"14,500",@22,@29,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
260,28/1/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 23    ,5,         F,644,517,Leased ,"16,000",@25,@31,CENTURY 21 HOME-LY PROPERTY AGENCY                    
261,27/1/2022,Aberdeen??ABERDEEN CTR BLK M HOI TIN COURT        ,H,3,526,432,Leased ,"15,800",@30,@37,GOOD PROFIT PROPERTY AGENCY                           
262,26/1/2022,Yau Tong??LAGUNA CITY PH 04 BLK 09                ,16,         G,639,517,Leased ,"14,000",@22,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
263,26/1/2022,Tseung Kwan O??MARITIME BAY BLK 01,L,G,892,672,Leased ,"21,000",@24,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
264,26/1/2022,Tseung Kwan O??LOHAS PARK PH 08 SEA TO SKY TWR 02,M,D,,711,Leased ,"22,300",,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
265,26/1/2022,Aberdeen??KA WO BLDG BLK A                        ,H,8,464,371,Leased ,"12,500",@27,@34,GOOD PROFIT PROPERTY AGENCY                           
266,26/1/2022,Tseung Kwan O??METRO CITY PH 02 TWR 07,H,B,515,363,Leased ,"14,000",@27,@39,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
267,26/1/2022,Tseung Kwan O??LOHAS PARK PH 08 SEA TO SKY TWR 03,H,H,,753,Leased ,"23,500",,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
268,25/1/2022,Wong Chuk Hang??GRANDVIEW GDN BLK 02                    ,L,         E,418,302,Leased ,"9,000",@22,@30,GOOD PROFIT PROPERTY AGENCY                           
269,24/1/2022,Yau Tong??LAGUNA CITY PH 02 BLK 27                ,1,         F,639,517,Leased ,"12,500",@20,@24,CENTURY 21 HOME-LY PROPERTY AGENCY                    
270,23/1/2022,Lam Tin??SCENEWAY GDN BLK 02                     ,14,         A,680,537,Leased ,"17,000",@25,@32,CENTURY 21 HOME-LY PROPERTY AGENCY                    
271,23/1/2022,Yau Tong??LAGUNA CITY PH 03 BLK 33                ,19,         A,937,748,Leased ,"22,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
272,23/1/2022,Tseung Kwan O??OCEAN SHORES PH 03 TWR 16,H,C,707,517,Leased ,"17,000",@24,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
273,23/1/2022,Tseung Kwan O??WELL ON GDN BLK 02,M,D,488,354,Leased ,"13,500",@28,@38,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
274,22/1/2022,Yau Tong??LAGUNA CITY PH 01 BLK 16                ,17,         F,639,517,Leased ,"15,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
275,22/1/2022,Tseung Kwan O??TSEUNG KWAN O PLAZA PH 02 TWR 08,H,A,863,633,Leased ,"23,500",@27,@37,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
276,22/1/2022,Tseung Kwan O??PARK CENTRAL PH 01 TWR 07,L,C,546,406,Leased ,"15,300",@28,@38,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
277,22/1/2022,Tseung Kwan O??PARK CENTRAL PH 01 TWR 07,H,C,546,406,Leased ,"15,800",@29,@39,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
278,22/1/2022,Tseung Kwan O??ON NING GDN BLK 04 (PSPS),M,J,551,465,Leased ,"13,500",@25,@29,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
279,19/1/2022,Aberdeen??JING HUI GDN BLK 01                     ,L,         C,529,406,Leased ,"13,000",@25,@32,GOOD PROFIT PROPERTY AGENCY                           
280,18/1/2022,Tseung Kwan O??LOHAS PARK PH 09A MARINI TWR 03A,H,C,,381,Leased ,"16,000",,@42,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
281,18/1/2022,Tseung Kwan O??METRO CITY PH 01 TWR 01,L,F,511,364,Leased ,"13,500",@26,@37,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
282,17/1/2022,Tseung Kwan O??FINERY PARK BLK 02,L,A,554,410,Leased ,"13,500",@24,@33,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
283,17/1/2022,Tseung Kwan O??METRO CITY PH 01 TWR 03,H,F,511,364,Leased ,"14,500",@28,@40,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
284,17/1/2022,Aberdeen??ABERDEEN CTR BLK B HOI CHU COURT        ,H,1,529,438,Leased ,"16,000",@30,@37,GOOD PROFIT PROPERTY AGENCY                           
285,16/1/2022,Tseung Kwan O??KING LAM EST BLK 06 KING TAO HSE,L,9,,443,Leased ,"12,000",,@27,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
286,16/1/2022,Yau Tong??LAGUNA CITY PH 04 BLK 18                ,1,         C,639,748,Leased ,"13,500",@21,@18,CENTURY 21 HOME-LY PROPERTY AGENCY                    
287,16/1/2022,Tseung Kwan O??FINERY PARK BLK 02,H,C,757,556,Leased ,"16,500",@22,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
288,16/1/2022,Tseung Kwan O??EAST POINT CITY BLK 06,H,G,599,466,Leased ,"16,000",@27,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
289,15/1/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 10    ,10,         H,939,748,Leased ,"25,000",@27,@33,CENTURY 21 HOME-LY PROPERTY AGENCY                    
290,15/1/2022,Yau Tong??LAGUNA CITY PH 01 BLK 17                ,18,         H,932,748,Leased ,"24,000",@26,@32,CENTURY 21 HOME-LY PROPERTY AGENCY                    
291,15/1/2022,Tseung Kwan O??LA CITE NOBLE BLK 04,H,D,603,434,Leased ,"17,000",@28,@39,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
292,15/1/2022,Tseung Kwan O??METRO CITY PH 01 TWR 04,M,E,906,698,Leased ,"21,000",@23,@30,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
293,13/1/2022,Yau Tong??LAGUNA CITY PH 01 BLK 14                ,12,         D,857,687,Leased ,"20,000",@23,@29,CENTURY 21 HOME-LY PROPERTY AGENCY                    
294,13/1/2022,Tseung Kwan O??METRO CITY PH 02 TWR 03,L,E,750,538,Leased ,"19,000",@25,@35,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
295,13/1/2022,Tseung Kwan O??NAN FUNG PLAZA TWR 06,M,A,918,691,Leased ,"21,500",@23,@31,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
296,13/1/2022,Aberdeen??ABERDEEN CTR BLK M HOI TIN COURT        ,H,2,529,438,Leased ,"15,600",@29,@36,GOOD PROFIT PROPERTY AGENCY                           
297,13/1/2022,Aberdeen??PAT LEUNG BLDG                          ,L,         A,483,368,Leased ,"13,000",@27,@35,GOOD PROFIT PROPERTY AGENCY                           
298,12/1/2022,Yau Tong??LAGUNA CITY PH 01 BLK 02                ,10,         F,639,517,Leased ,"13,800",@22,@27,CENTURY 21 HOME-LY PROPERTY AGENCY                    
299,12/1/2022,Aberdeen??KIN FAI BLDG                            ,L,         D,388,310,Leased ,"11,000",@28,@35,GOOD PROFIT PROPERTY AGENCY                           
300,12/1/2022,Tseung Kwan O??TONG MING COURT BLK C (HOS),H,14,570,426,Leased ,"13,500",@24,@32,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
301,11/1/2022,Lam Tin??SCENEWAY GDN BLK 08                     ,20,         B,680,537,Leased ,"17,000",@25,@32,CENTURY 21 HOME-LY PROPERTY AGENCY                    
302,10/1/2022,Yau Tong??LAGUNA CITY PH 04 LAGUNA COVE BLK 20    ,7,         G,644,517,Leased ,"16,500",@26,@32,CENTURY 21 HOME-LY PROPERTY AGENCY                    
303,10/1/2022,Tseung Kwan O??FU NING GDN BLK 03 (PSPS),M,J,659,592,Leased ,"15,200",@23,@26,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
304,9/1/2022,Aberdeen??KAM FUNG BLDG                           ,H,         F,562,443,Leased ,"15,000",@27,@34,GOOD PROFIT PROPERTY AGENCY                           
305,9/1/2022,Tseung Kwan O??METRO CITY PH 01 TWR 05,L,D,698,526,Leased ,"17,800",@26,@34,CENTURY 21 PROPERTY AGENCY (Tseung Kwan O)
