,Floor,SA (ft2),Price(HK$),Price/ft2(SA),Date,District
510,H,559,18800,33.63,2021-10-18,Aberdeen
511,L,577,23800,41.25,2021-10-18,Tseung Kwan O
512,L,517,17000,32.88,2021-10-17,Yau Tong
513,M,527,18000,34.16,2021-10-17,Tseung Kwan O
514,L,701,20000,28.53,2021-10-17,Tseung Kwan O
515,H,254,14500,57.09,2021-10-17,Aberdeen
516,L,748,20000,26.74,2021-10-16,Yau Tong
517,H,427,16000,37.47,2021-10-16,Aberdeen
518,L,560,17600,31.43,2021-10-15,Aberdeen
519,L,354,12500,35.31,2021-10-15,Wong Chuk Hang
520,H,438,15800,36.07,2021-10-15,Aberdeen
521,H,687,21500,31.3,2021-10-14,Yau Tong
522,H,517,18000,34.82,2021-10-14,Yau Tong
523,H,666,22500,33.78,2021-10-14,Tseung Kwan O
524,M,363,15000,41.32,2021-10-14,Tseung Kwan O
525,L,614,19000,30.94,2021-10-13,Lam Tin
526,H,214,10000,46.73,2021-10-13,Aberdeen
527,H,503,14500,28.83,2021-10-13,Tseung Kwan O
528,M,517,15000,29.01,2021-10-12,Yau Tong
529,M,517,15000,29.01,2021-10-12,Yau Tong
530,H,425,16500,38.82,2021-10-11,Tseung Kwan O
531,L,420,16500,39.29,2021-10-11,Tseung Kwan O
532,M,517,17500,33.85,2021-10-10,Yau Tong
534,L,381,11800,30.97,2021-10-10,Tseung Kwan O
535,H,364,14000,38.46,2021-10-10,Tseung Kwan O
536,H,354,14000,39.55,2021-10-10,Tseung Kwan O
537,M,484,15300,31.61,2021-10-10,Tseung Kwan O
539,H,291,12500,42.96,2021-10-10,Aberdeen
540,M,526,18200,34.6,2021-10-10,Tseung Kwan O
541,H,354,13800,38.98,2021-10-10,Tseung Kwan O
542,M,502,15000,29.88,2021-10-10,Tseung Kwan O
543,H,469,16000,34.12,2021-10-08,Aberdeen
544,M,466,17500,37.55,2021-10-08,Tseung Kwan O
545,H,273,12800,46.89,2021-10-08,Aberdeen
546,H,766,21800,28.46,2021-10-07,Tseung Kwan O
547,H,523,16500,31.55,2021-10-07,Tseung Kwan O
548,H,351,13800,39.32,2021-10-07,Tseung Kwan O
549,M,687,22500,32.75,2021-10-06,Yau Tong
550,M,517,16300,31.53,2021-10-06,Yau Tong
552,H,364,15000,41.21,2021-10-05,Tseung Kwan O
553,L,484,14500,29.96,2021-10-05,Tseung Kwan O
554,H,501,15500,30.94,2021-10-05,Tseung Kwan O
