District,SA (ft2),Price(HK$),Date,Floor,Price/ft2(SA),Estate,District1
Happy Valley,339,12000,2022-04-10 00:00:00,M,35.4,King Cheung Mansion,WAN CHAI
Siu Sai Wan,455,17000,2022-04-10 00:00:00,H,37.36,Island Resort,EASTERN
Siu Sai Wan,596,21000,2022-04-10 00:00:00,L,35.23,Island Resort,EASTERN
Yuen Long Town Centre,327,8800,2022-04-10 00:00:00,H,26.91,Far East Consortium Yuen Long Building,YUEN LONG
Lohas Park,541,17800,2022-04-10 00:00:00,H,32.9,Lohas Park,SAI KUNG
Tiu Keng Leng,503,17000,2022-04-10 00:00:00,H,33.8,Ocean Shores,SAI KUNG
Tiu Keng Leng,650,21000,2022-04-10 00:00:00,M,32.31,Metro Town,SAI KUNG
Lohas Park,749,20000,2022-04-10 00:00:00,H,26.7,Lohas Park,SAI KUNG
San Po Kong,827,27500,2022-04-10 00:00:00,L,33.25,The Latitude,WONG TAI SIN
Po Lam,443,13000,2022-04-10 00:00:00,M,29.35,Ho Ming Court,SAI KUNG
Kai Tak New Area,475,16800,2022-04-10 00:00:00,H,35.37,Victoria Skye,KOWLOON CITY
Kowloon Tong,821,24000,2022-04-10 00:00:00,L,29.23,Joy Garden,SOUTHERN
Sham Shui Po,214,10000,2022-04-10 00:00:00,H,46.73,Harbour Park,SHAM SHUI PO
Lohas Park,309,12000,2022-04-10 00:00:00,L,38.83,Lohas Park,SAI KUNG
Lohas Park,1077,32000,2022-04-10 00:00:00,L,29.71,Lohas Park,SAI KUNG
Lohas Park,422,14500,2022-04-10 00:00:00,M,34.36,Lohas Park,SAI KUNG
Kowloon Bay,322,12800,2022-04-10 00:00:00,H,39.75,Amoy Gardens,KWUN TONG
Tseung Kwan O,530,18500,2022-04-10 00:00:00,H,34.91,The Papillons,SAI KUNG
Kai Tak New Area,460,16500,2022-04-10 00:00:00,L,35.87,Summit,YAU TSIM MONG
Tai Kok Tsui,382,15000,2022-04-10 00:00:00,M,39.27,Metro Harbour View,YAU TSIM MONG
Ha Kwai Chung,243,13500,2022-04-10 00:00:00,H,55.56,Edition 178,KWAI TSING
To Kwa Wan,482,16000,2022-04-10 00:00:00,H,33.2,Sky Tower,YAU TSIM MONG
Sai Wan Ho,789,35000,2022-04-10 00:00:00,L,44.36,Lei King Wan,EASTERN
Ho Man Tin,590,21500,2022-04-10 00:00:00,H,36.44,Mantin Heights,KOWLOON CITY
Kowloon Tong,537,22500,2022-04-10 00:00:00,H,41.9,Inverness Villa,KOWLOON CITY
Nam Cheong Station,526,24500,2022-04-10 00:00:00,M,46.58,Cullinan West,SHAM SHUI PO
Kennedy Town,282,12800,2022-04-10 00:00:00,L,45.39,Smithfield Terrace,CENTRAL & WESTERN
Kowloon Station,412,22000,2022-04-10 00:00:00,L,53.4,The Arch,YAU TSIM MONG
Lohas Park,375,14000,2022-04-10 00:00:00,L,37.33,Lohas Park,SAI KUNG
So Kwun Wat,445,12000,2022-04-10 00:00:00,H,26.97,Oma Oma,SOUTHERN
So Kwun Wat,519,14000,2022-04-10 00:00:00,H,26.97,Aegean Coast,TUEN MUN
Fanling,419,12000,2022-04-10 00:00:00,L,28.64,Regentville,NORTH
Shap Pat Heung,667,17500,2022-04-10 00:00:00,H,26.24,Park Signature,YUEN LONG
Hang Hau,769,21000,2022-04-10 00:00:00,L,27.31,Oscar By The Sea,SAI KUNG
Tsuen Wan West,470,17000,2022-04-10 00:00:00,L,36.17,Parc City,TSUEN WAN
Tsing Yi,424,11800,2022-04-10 00:00:00,L,27.83,Mayfair Gardens,KOWLOON CITY
City One Shatin,327,12800,2022-04-10 00:00:00,H,39.14,City One Shatin,SHA TIN
Tsuen King Circuit,287,9800,2022-04-10 00:00:00,L,34.15,Tsuen Tak Gardens,TSUEN WAN
Tsing Yi,445,13500,2022-04-10 00:00:00,H,30.34,Mayfair Gardens,KOWLOON CITY
Yuen Long Southeast,254,10000,2022-04-10 00:00:00,M,39.37,Sereno Verde,YUEN LONG
Tai Po Town Centre,342,12500,2022-04-10 00:00:00,H,36.55,Fortune Plaza,TAI PO
Quarry Bay,391,14500,2022-04-10 00:00:00,L,37.08,Nan Fung Sun Chuen,EASTERN
Residence Bel-air,1118,51200,2022-04-10 00:00:00,H,45.8,Air,SOUTHERN
Tseung Kwan O,1108,40000,2022-04-10 00:00:00,M,36.1,The Wings,SAI KUNG
Po Lam,363,12500,2022-04-10 00:00:00,L,34.44,The Metro City,SAI KUNG
Fanling,450,12000,2022-04-10 00:00:00,L,26.67,Royal Green,NORTH
Kornhill,668,23500,2022-04-10 00:00:00,M,35.18,Kornhill,EASTERN
Sai Wan Ho,211,10800,2022-04-10 00:00:00,L,51.18,Parker33,EASTERN
Tai Po Town Centre,342,12000,2022-04-10 00:00:00,L,35.09,Fortune Plaza,TAI PO
Mid-Levels West,823,36000,2022-04-10 00:00:00,H,43.74,Robinson Heights,CENTRAL & WESTERN
Mid-Levels West,621,40000,2022-04-10 00:00:00,M,64.41,Babington Hill,CENTRAL & WESTERN
Sai Ying Pun,287,19000,2022-04-10 00:00:00,H,66.2,Artlane,CENTRAL & WESTERN
Wan Chai,229,10000,2022-04-10 00:00:00,H,43.67,Fu Yuen,WAN CHAI
Pak Shek Kok | Tai Po Mid-levels,446,20500,2022-04-10 00:00:00,L,45.96,St Martin,TAI PO
Yuk Kwai Shan Wan Poon,1161,45980,2022-04-10 00:00:00,H,39.6,Larvotto,SOUTHERN
South Horizons,889,31300,2022-04-10 00:00:00,L,35.21,South Horizons,SOUTHERN
South Horizons,623,20800,2022-04-10 00:00:00,L,33.39,South Horizons,SOUTHERN
Lam Tei,396,10000,2022-04-10 00:00:00,L,25.25,The Sherwood,TUEN MUN
Tuen Mun North,363,9600,2022-04-10 00:00:00,H,26.45,Hong Tak Gardens,TUEN MUN
Ma Wan,575,14500,2022-04-10 00:00:00,L,25.22,Park Island,TSUEN WAN
Kai Tak New Area,460,16000,2022-04-10 00:00:00,M,34.78,Summit,YAU TSIM MONG
Po Lam,470,15500,2022-04-10 00:00:00,M,32.98,The Metro City,SAI KUNG
Tuen Mun Town Centre,414,10800,2022-04-10 00:00:00,M,26.09,Waldorf Garden,TUEN MUN
Tai Wai,785,24000,2022-04-10 00:00:00,L,30.57,Festival City,SHA TIN
Ngau Tam Mei,1659,42000,2022-04-10 00:00:00,Others,25.32,Greenery Gardens,CENTRAL & WESTERN
Yuen Long Station,592,20000,2022-04-10 00:00:00,M,33.78,Grand Yoho,YUEN LONG
Chi Lok,254,8000,2022-04-10 00:00:00,M,31.5,Man Bo Building,TUEN MUN
Sha Tin,269,11000,2022-04-10 00:00:00,M,40.89,Garden Rivera,SHA TIN
Tsing Yi,666,19500,2022-04-10 00:00:00,L,29.28,Tierra Verde,KWAI TSING
Tsing Yi,675,20500,2022-04-10 00:00:00,H,30.37,Tierra Verde,KWAI TSING
Kai Tak New Area,799,28500,2022-04-10 00:00:00,M,35.67,One Kai Tak,KOWLOON CITY
Fanling,300,10500,2022-04-10 00:00:00,M,35.0,Commune Modern,NORTH
Long Ping,428,13500,2022-04-10 00:00:00,L,31.54,Yuccie Square,YUEN LONG
Lam Tin,522,15000,2022-04-10 00:00:00,M,28.74,Laguna City,KWUN TONG
Yuen Long Southeast,569,14500,2022-04-10 00:00:00,L,25.48,Sereno Verde,YUEN LONG
Yuen Long Station,393,13500,2022-04-10 00:00:00,H,34.35,Yoho Town,YUEN LONG
Tai Kok Tsui,326,13500,2022-04-10 00:00:00,H,41.41,Metro Harbour View,YAU TSIM MONG
Tung Chung Town Centre,749,18000,2022-04-10 00:00:00,H,24.03,Caribbean Coast,ISLANDS
Tuen Mun Ferry Pier,398,9000,2022-04-09 00:00:00,L,22.61,Miami Beach Towers,TUEN MUN
Tuen Mun Ferry Pier,351,10000,2022-04-09 00:00:00,H,28.49,Siu Hei Court,TUEN MUN
Mid-Levels West,267,16000,2022-04-09 00:00:00,M,59.93,Soho 38,CENTRAL & WESTERN
Tuen Mun Town Centre,272,9600,2022-04-09 00:00:00,H,35.29,The Trend Plaza,TUEN MUN
Lohas Park,753,20000,2022-04-09 00:00:00,L,26.56,Lohas Park,SAI KUNG
Tung Chung Town Centre,552,13800,2022-04-09 00:00:00,H,25.0,Caribbean Coast,ISLANDS
Lohas Park,499,13800,2022-04-09 00:00:00,H,27.66,The Beaumount,SAI KUNG
Tuen Mun South,501,11000,2022-04-09 00:00:00,H,21.96,Sun Tuen Mun Centre,TUEN MUN
Tseung Kwan O,898,30800,2022-04-09 00:00:00,M,34.3,The Papillons,SAI KUNG
Lohas Park,481,16800,2022-04-09 00:00:00,M,34.93,Lohas Park,SAI KUNG
North Point Mid-Levels,1297,63000,2022-04-09 00:00:00,M,48.57,Braemar Hill Mansions,EASTERN
Tsing Lung Tau,947,18500,2022-04-09 00:00:00,H,19.54,Hong Kong Garden,CENTRAL & WESTERN
Sham Shui Po,496,17000,2022-04-09 00:00:00,H,34.27,Seaside Sonata,YAU TSIM MONG
Hang Hau,484,17000,2022-04-09 00:00:00,L,35.12,Residence Oasis,SAI KUNG
Nam Cheong Station,440,23500,2022-04-09 00:00:00,H,53.41,Cullinan West,SHAM SHUI PO
Four Little Dragons,498,16000,2022-04-09 00:00:00,L,32.13,The Sparkle,SHAM SHUI PO
North Point,407,15500,2022-04-09 00:00:00,M,38.08,Fortress Metro Tower,EASTERN
Long Ping,363,13300,2022-04-09 00:00:00,H,36.64,The Spectra,YUEN LONG
Ma Wan,794,23800,2022-04-09 00:00:00,M,29.97,Park Island,TSUEN WAN
Deep Bay,595,30000,2022-04-09 00:00:00,L,50.42,Marinella,SOUTHERN
Tung Chung Town Centre,809,19000,2022-04-09 00:00:00,H,23.49,Caribbean Coast,ISLANDS
Hang Hau,702,19600,2022-04-09 00:00:00,L,27.92,Nan Fung Plaza,SAI KUNG
Kai Tak New Area,451,16500,2022-04-09 00:00:00,M,36.59,Summit,YAU TSIM MONG
Wan Chai,340,17500,2022-04-09 00:00:00,M,51.47,The Avenue,WAN CHAI
Tseung Kwan O,368,16000,2022-04-09 00:00:00,H,43.48,The Wings,SAI KUNG
Yuen Long Station,595,20800,2022-04-09 00:00:00,H,34.96,Grand Yoho,YUEN LONG
Tai Kok Tsui,263,13000,2022-04-09 00:00:00,L,49.43,Upper West,YAU TSIM MONG
Sai Ying Pun,552,29000,2022-04-09 00:00:00,M,52.54,Island Crest,CENTRAL & WESTERN
Yuen Long Station,393,13500,2022-04-09 00:00:00,L,34.35,Yoho Town,YUEN LONG
Tsing Yi,368,11500,2022-04-09 00:00:00,L,31.25,Greenfield Garden,KWAI TSING
Yuen Long Southeast,355,10800,2022-04-09 00:00:00,M,30.42,The Reach,YUEN LONG
Tsing Yi,504,14300,2022-04-09 00:00:00,L,28.37,Broadview Garden,KWAI TSING
Pok Fu Lam,439,14000,2022-04-08 00:00:00,L,31.89,Chi Fu Fa Yuen,SOUTHERN
Ma On Shan,310,12800,2022-04-08 00:00:00,M,41.29,Altissimo,SHA TIN
Ma On Shan,549,17800,2022-04-08 00:00:00,M,32.42,Lake Silver,SHA TIN
Tai Wai,504,14800,2022-04-08 00:00:00,M,29.37,Ka Tin Court,SHA TIN
Sai Ying Pun,367,20000,2022-04-08 00:00:00,M,54.5,s Hill,EASTERN
Po Lam,364,12800,2022-04-08 00:00:00,M,35.16,Metro City,SAI KUNG
Mid-Levels West,305,23000,2022-04-08 00:00:00,H,75.41,The Pierre,CENTRAL & WESTERN
Mid-Levels West,436,19000,2022-04-08 00:00:00,L,43.58,Caine Building,CENTRAL & WESTERN
Pak Shek Kok | Tai Po Mid-levels,591,23500,2022-04-08 00:00:00,Others,39.76,Mayfair By The Sea,TAI PO
Discovery Bay,368,9500,2022-04-08 00:00:00,L,25.82,Discovery Bay,ISLANDS
Kowloon City,541,20500,2022-04-08 00:00:00,M,37.89,Oxford Heights,KOWLOON CITY
Lohas Park,743,21500,2022-04-08 00:00:00,L,28.94,Lohas Park,SAI KUNG
To Kwa Wan,482,16500,2022-04-08 00:00:00,M,34.23,Sky Tower,YAU TSIM MONG
Belvedere,668,17000,2022-04-08 00:00:00,M,25.45,Belvedere Garden,TSUEN WAN
Tung Chung Town Centre,448,13500,2022-04-08 00:00:00,H,30.13,The Visionary,ISLANDS
Tin Shui Wai,448,12300,2022-04-08 00:00:00,H,27.46,Kingswood Villas,YUEN LONG
Nob Hill,455,17000,2022-04-08 00:00:00,M,37.36,Nob Hill,KWAI TSING
Olympic Station,885,37000,2022-04-08 00:00:00,H,41.81,Imperial Cullinan,YAU TSIM MONG
Lohas Park,479,14300,2022-04-08 00:00:00,H,29.85,Lohas Park,SAI KUNG
Hung Shui Kiu North New Development Area,693,15800,2022-04-08 00:00:00,M,22.8,Park Nara,YUEN LONG
Lohas Park,379,13000,2022-04-08 00:00:00,M,34.3,Lohas Park,SAI KUNG
Heng Fa Chuen,453,15500,2022-04-08 00:00:00,L,34.22,Heng Fa Chuen,EASTERN
So Kwun Wat,321,9800,2022-04-08 00:00:00,H,30.53,Emerald Bay,TUEN MUN
Sai Ying Pun,259,15500,2022-04-08 00:00:00,L,59.85,Sublime,CENTRAL & WESTERN
Wan Chai,340,18000,2022-04-08 00:00:00,M,52.94,The Avenue,WAN CHAI
Yuen Long Southeast,254,9500,2022-04-08 00:00:00,M,37.4,Sereno Verde,YUEN LONG
Tseung Kwan O,355,15500,2022-04-08 00:00:00,M,43.66,The Wings,SAI KUNG
Cheung Sha Wan,277,13800,2022-04-08 00:00:00,L,49.82,The Ascent,SHAM SHUI PO
Lohas Park,1054,35000,2022-04-08 00:00:00,H,33.21,Lohas Park,SAI KUNG
Ho Man Tin,585,21000,2022-04-08 00:00:00,M,35.9,Mantin Heights,KOWLOON CITY
Tsim Sha Tsui,604,38000,2022-04-08 00:00:00,M,62.91,The Masterpiece,YAU TSIM MONG
Olympic Station,773,33600,2022-04-08 00:00:00,L,43.47,Florient Rise,YAU TSIM MONG
Lohas Park,791,26000,2022-04-08 00:00:00,L,32.87,Lohas Park,SAI KUNG
Kai Tak New Area,516,19000,2022-04-08 00:00:00,M,36.82,Summit,YAU TSIM MONG
Lohas Park,759,20000,2022-04-08 00:00:00,L,26.35,Lohas Park,SAI KUNG
Yau Tong,666,20500,2022-04-08 00:00:00,L,30.78,Canaryside,KWUN TONG
Tseung Kwan O,406,14000,2022-04-08 00:00:00,H,34.48,Park Central,SAI KUNG
Tai Hang Mid-Levels,616,26000,2022-04-08 00:00:00,L,42.21,Illumination Terrace,WAN CHAI
Tsuen Wan West,690,22500,2022-04-08 00:00:00,L,32.61,The Aurora,TSUEN WAN
Tsuen Wan West,442,18500,2022-04-08 00:00:00,H,41.86,The Aurora,TSUEN WAN
Tseung Kwan O,440,14500,2022-04-08 00:00:00,M,32.95,Alto Residences,SAI KUNG
Olympic Station,1002,46000,2022-04-08 00:00:00,H,45.91,Imperial Cullinan,YAU TSIM MONG
Kennedy Town,464,20500,2022-04-08 00:00:00,L,44.18,Cayman Rise,CENTRAL & WESTERN
Tuen Mun North,525,13500,2022-04-08 00:00:00,M,25.71,Chelsea Heights,TUEN MUN
Tseung Kwan O,750,26000,2022-04-08 00:00:00,H,34.67,The Parkside,SAI KUNG
So Kwun Wat,238,7700,2022-04-08 00:00:00,H,32.35,Emerald Bay,TUEN MUN
Tung Chung Town Centre,453,13500,2022-04-08 00:00:00,H,29.8,Century Link,ISLANDS
Kowloon Station,633,38000,2022-04-08 00:00:00,H,60.03,Sorrento,CENTRAL & WESTERN
Tuen Mun South,330,12000,2022-04-08 00:00:00,H,36.36,Regency Bay,TUEN MUN
Tuen Mun South,563,12500,2022-04-08 00:00:00,H,22.2,Siu On Court,TUEN MUN
Ma On Shan,338,12500,2022-04-08 00:00:00,M,36.98,Sunshine City,SHA TIN
Pak Shek Kok | Tai Po Mid-levels,851,28000,2022-04-08 00:00:00,H,32.9,St Martin,TAI PO
Tai Po Town Centre,299,12500,2022-04-08 00:00:00,M,41.81,Tai Po Centre,TAI PO
Yuk Kwai Shan Wan Poon,743,30000,2022-04-08 00:00:00,H,40.38,Sham Wan Towers,SOUTHERN
Sai Wan Ho,498,21500,2022-04-08 00:00:00,H,43.17,Grand Promenade,EASTERN
Lohas Park,522,17500,2022-04-08 00:00:00,M,33.52,Lohas Park,SAI KUNG
Tseung Kwan O,401,15300,2022-04-08 00:00:00,M,38.15,Alto Residences,SAI KUNG
Po Lam,363,13500,2022-04-08 00:00:00,M,37.19,The Metro City,SAI KUNG
Tai Tam,3136,130000,2022-04-08 00:00:00,Others,41.45,The Redhill Peninsula,SOUTHERN
Kennedy Town,658,35000,2022-04-08 00:00:00,L,53.19,The Hudson,CENTRAL & WESTERN
Mid-Levels West,848,28000,2022-04-08 00:00:00,L,33.02,2 Park Road,CENTRAL & WESTERN
Kennedy Town,245,11700,2022-04-08 00:00:00,M,47.76,Chi Ping Building,CENTRAL & WESTERN
Repulse Bay,1878,70000,2022-04-08 00:00:00,M,37.27,Ridge Court,SOUTHERN
Wan Chai,492,20000,2022-04-08 00:00:00,L,40.65,Hay Wah Building,WAN CHAI
South Horizons,581,19500,2022-04-08 00:00:00,L,33.56,South Horizons,SOUTHERN
Siu Hong,573,15500,2022-04-08 00:00:00,M,27.05,South Hill Crest,CENTRAL & WESTERN
Lohas Park,561,16500,2022-04-08 00:00:00,H,29.41,Lohas Park,SAI KUNG
Po Lam,364,16000,2022-04-08 00:00:00,H,43.96,Metro City,SAI KUNG
Kai Tak New Area,462,15200,2022-04-08 00:00:00,L,32.9,Summit,YAU TSIM MONG
Taikoo Shing,583,19000,2022-04-08 00:00:00,H,32.59,Taikoo Shing,EASTERN
Tsuen King Circuit,551,15500,2022-04-08 00:00:00,H,28.13,Tsuen King Garden,TSUEN WAN
Ho Man Tin,520,19000,2022-04-08 00:00:00,M,36.54,Karin Court,KOWLOON CITY
Tuen Mun San Hui,412,12800,2022-04-08 00:00:00,M,31.07,Elegance Gardens,TUEN MUN
Tuen Mun Town Centre,363,9300,2022-04-08 00:00:00,L,25.62,Hong Lai Garden,TUEN MUN
Tuen Mun South,348,11000,2022-04-08 00:00:00,M,31.61,The Esplanade,TUEN MUN
Tuen Mun Town Centre,349,10000,2022-04-08 00:00:00,H,28.65,Tuen Mun Town Plaza,TUEN MUN
Tung Chung Town Centre,546,14500,2022-04-08 00:00:00,L,26.56,Coastal Skyline,ISLANDS
Tai Po Market,489,14800,2022-04-08 00:00:00,L,30.27,Uptown Plaza,TAI PO
Tsing Yi,670,20000,2022-04-08 00:00:00,M,29.85,Tierra Verde,KWAI TSING
Long Ping,620,16703,2022-04-08 00:00:00,M,26.94,The Spectra,YUEN LONG
Wan Chai,535,35000,2022-04-08 00:00:00,H,65.42,The Avenue,WAN CHAI
Yuen Long Southeast,443,13000,2022-04-08 00:00:00,H,29.35,The Reach,YUEN LONG
Yuen Long Station,362,12500,2022-04-08 00:00:00,L,34.53,Yoho Town,YUEN LONG
Tsim Sha Tsui,676,28000,2022-04-08 00:00:00,L,41.42,Harbour Pinnacle,YAU TSIM MONG
Kowloon Tong,306,15000,2022-04-07 00:00:00,M,49.02,La Salle Residence,KOWLOON CITY
Sha Tin,297,12500,2022-04-07 00:00:00,M,42.09,Shatin Centre,SHA TIN
Mid-Levels West,219,11000,2022-04-07 00:00:00,M,50.23,The Richmond,CENTRAL & WESTERN
Sha Tin,640,22500,2022-04-07 00:00:00,L,35.16,New Town Plaza,SHA TIN
Four Little Dragons,513,19300,2022-04-07 00:00:00,H,37.62,Liberte,SHAM SHUI PO
Fo Tan,913,32000,2022-04-07 00:00:00,M,35.05,The Palazzo,SHA TIN
To Kwa Wan,257,13000,2022-04-07 00:00:00,H,50.58,The Zutten,KOWLOON CITY
To Kwa Wan,413,17300,2022-04-07 00:00:00,M,41.89,Downtown 38,KOWLOON CITY
Kowloon Bay,390,13500,2022-04-07 00:00:00,M,34.62,Amoy Gardens,KWUN TONG
Sham Tseng,653,15000,2022-04-07 00:00:00,M,22.97,Sea Crest Villa,ISLANDS
Kai Tak New Area,360,15500,2022-04-07 00:00:00,H,43.06,Oasis Kai Tak,KOWLOON CITY
North Point Mid-Levels,998,53500,2022-04-07 00:00:00,H,53.61,Sky Horizon,EASTERN
Tsing Lung Tau,828,18000,2022-04-07 00:00:00,M,21.74,Hong Kong Garden,CENTRAL & WESTERN
So Kwun Wat,319,8800,2022-04-07 00:00:00,L,27.59,Emerald Bay,TUEN MUN
Shap Pat Heung,238,8800,2022-04-07 00:00:00,M,36.97,Atrium House,YUEN LONG
Tseung Kwan O,530,18000,2022-04-07 00:00:00,M,33.96,The Papillons,SAI KUNG
North Point,603,62560,2022-04-07 00:00:00,M,103.75,Victoria Harbour,EASTERN
Four Little Dragons,493,22000,2022-04-07 00:00:00,H,44.62,Banyan Garden,SHAM SHUI PO
Kowloon Bay,282,10300,2022-04-07 00:00:00,L,36.52,Tak Bo Garden,KWUN TONG
Kowloon Bay,375,15000,2022-04-07 00:00:00,M,40.0,Amoy Gardens,KWUN TONG
Cheung Sha Wan,346,11500,2022-04-07 00:00:00,M,33.24,Cheong Yuen Building,SHAM SHUI PO
Kai Tak New Area,514,18000,2022-04-07 00:00:00,L,35.02,Summit,YAU TSIM MONG
Kai Tak New Area,493,18000,2022-04-07 00:00:00,L,36.51,Vibe Centro,KOWLOON CITY
Lohas Park,467,15000,2022-04-07 00:00:00,M,32.12,Lohas Park,SAI KUNG
Lohas Park,471,14800,2022-04-07 00:00:00,M,31.42,Lohas Park,SAI KUNG
Sai Wan Ho,498,20000,2022-04-07 00:00:00,L,40.16,Grand Promenade,EASTERN
Ho Man Tin,741,25000,2022-04-07 00:00:00,H,33.74,Upper Floor,CENTRAL & WESTERN
Tsuen Wan Town Centre,369,14800,2022-04-07 00:00:00,H,40.11,Tsuen Kam Centre,TSUEN WAN
Tai Kok Tsui,320,11500,2022-04-07 00:00:00,L,35.94,Cosmopolitan Estates,YAU TSIM MONG
Tsuen Wan West,498,14800,2022-04-07 00:00:00,L,29.72,City Point,TSUEN WAN
Tsuen Wan West,238,12000,2022-04-07 00:00:00,H,50.42,H Cube,TSUEN WAN
Fanling,506,13800,2022-04-07 00:00:00,M,27.27,Green Code,NORTH
Yuen Long Southeast,270,10500,2022-04-07 00:00:00,M,38.89,Sereno Verde,YUEN LONG
Yuen Long Southeast,434,12500,2022-04-07 00:00:00,M,28.8,The Reach,YUEN LONG
Sai Ying Pun,374,18000,2022-04-07 00:00:00,L,48.13,Island Crest,CENTRAL & WESTERN
Kowloon Station,453,18000,2022-04-07 00:00:00,H,39.74,The Coronation,YAU TSIM MONG
Sai Wan Ho,494,18000,2022-04-07 00:00:00,L,36.44,Lei King Wan,EASTERN
Taikoo Shing,797,28500,2022-04-07 00:00:00,L,35.76,Taikoo Shing,EASTERN
Residence Bel-air,734,35000,2022-04-07 00:00:00,M,47.68,Air,SOUTHERN
Tin Shui Wai,630,13500,2022-04-07 00:00:00,L,21.43,Kingswood Villas,YUEN LONG
Tsuen Wan West,1153,38000,2022-04-07 00:00:00,M,32.96,Ocean Pride,TSUEN WAN
Tsuen King Circuit,354,10500,2022-04-07 00:00:00,H,29.66,Tsuen Wan Centre,TSUEN WAN
Tsing Yi,659,20500,2022-04-07 00:00:00,M,31.11,Tierra Verde,KWAI TSING
Four Little Dragons,466,17000,2022-04-06 00:00:00,H,36.48,Banyan Garden,SHAM SHUI PO
Tuen Mun North,302,11500,2022-04-06 00:00:00,M,38.08,Ori,TUEN MUN
Tung Chung Town Centre,737,17000,2022-04-06 00:00:00,H,23.07,Caribbean Coast,ISLANDS
Kowloon Bay,512,16000,2022-04-06 00:00:00,H,31.25,Telford Gardens,KWUN TONG
So Kwun Wat,343,9800,2022-04-06 00:00:00,H,28.57,Emerald Bay,TUEN MUN
Hang Hau,463,16500,2022-04-06 00:00:00,L,35.64,East Point City,SAI KUNG
Lohas Park,512,13500,2022-04-06 00:00:00,H,26.37,The Beaumount,SAI KUNG
Wong Tai Sin,521,20000,2022-04-06 00:00:00,L,38.39,Lions Rise,WONG TAI SIN
Tung Chung Town Centre,494,13000,2022-04-06 00:00:00,M,26.32,Caribbean Coast,ISLANDS
Siu Hong,553,12000,2022-04-06 00:00:00,H,21.7,Siu Hong Court,TUEN MUN
Siu Hong,483,11000,2022-04-06 00:00:00,H,22.77,Siu Hong Court,TUEN MUN
So Kwun Wat,318,8400,2022-04-06 00:00:00,H,26.42,Emerald Bay,TUEN MUN
Yuen Long Station,519,16800,2022-04-06 00:00:00,H,32.37,Grand Yoho,YUEN LONG
Pak Shek Kok | Tai Po Mid-levels,1693,48800,2022-04-06 00:00:00,L,28.82,Providence Bay,TAI PO
Kai Tak New Area,287,14000,2022-04-06 00:00:00,M,48.78,Summit,YAU TSIM MONG
Lohas Park,535,16500,2022-04-06 00:00:00,M,30.84,Lohas Park,SAI KUNG
Shek Tong Tsui,540,30000,2022-04-06 00:00:00,M,55.56,Novum West,CENTRAL & WESTERN
Tin Shui Wai,506,10500,2022-04-06 00:00:00,L,20.75,Tin Fu Court,YUEN LONG
Ma Wan,490,12500,2022-04-06 00:00:00,M,25.51,Park Island,TSUEN WAN
To Kwa Wan,517,14500,2022-04-06 00:00:00,M,28.05,Kam Wo Building,KWUN TONG
Sheung Shui,361,12000,2022-04-06 00:00:00,H,33.24,Sheung Shui Centre,NORTH
Long Ping,429,14300,2022-04-06 00:00:00,L,33.33,Yuccie Square,YUEN LONG
Sheung Kwai Chung,663,20800,2022-04-05 00:00:00,L,31.37,The Apex,KWAI TSING
Tseung Kwan O,438,15000,2022-04-05 00:00:00,L,34.25,Park Central,SAI KUNG
Tsuen Wan West,435,14000,2022-04-05 00:00:00,M,32.18,Indi Home,SAI KUNG
Tsuen King Circuit,480,12000,2022-04-05 00:00:00,M,25.0,Allway Garden,TSUEN WAN
Tin Shui Wai,1281,27500,2022-04-05 00:00:00,H,21.47,Kingswood Villas,YUEN LONG
Tseung Kwan O,541,17000,2022-04-05 00:00:00,L,31.42,Park Central,SAI KUNG
Tuen Mun South,341,10000,2022-04-05 00:00:00,M,29.33,Goodview Garden,WAN CHAI
Nob Hill,403,13500,2022-04-05 00:00:00,H,33.5,Ching Lai Court,SHAM SHUI PO
Lohas Park,309,12500,2022-04-05 00:00:00,H,40.45,Lohas Park,SAI KUNG
Mid-Levels West,650,39000,2022-04-05 00:00:00,M,60.0,Gramercy,CENTRAL & WESTERN
Sai Wan Ho,238,14500,2022-04-05 00:00:00,H,60.92,Island Residence,EASTERN
Shau Kei Wan,484,18000,2022-04-05 00:00:00,L,37.19,Island Garden,EASTERN
Tuen Mun South,437,10500,2022-04-05 00:00:00,H,24.03,Hanford Garden,TUEN MUN
Diamond Hill,383,13800,2022-04-05 00:00:00,H,36.03,Lung Poon Court,WONG TAI SIN
Sham Shui Po,151,8200,2022-04-05 00:00:00,M,54.3,Ava 228,CENTRAL & WESTERN
Sham Shui Po,474,16000,2022-04-05 00:00:00,L,33.76,Seaside Sonata,YAU TSIM MONG
Ma Wan,843,25000,2022-04-05 00:00:00,H,29.66,Park Island,TSUEN WAN
Laguna,1100,39000,2022-04-05 00:00:00,M,35.45,Laguna Verde,KOWLOON CITY
Sham Shui Po,496,18000,2022-04-05 00:00:00,M,36.29,Seaside Sonata,YAU TSIM MONG
Tsuen Wan West,859,31000,2022-04-05 00:00:00,M,36.09,The Aurora,TSUEN WAN
Ha Kwai Chung,480,14500,2022-04-05 00:00:00,L,30.21,Sun Kwai Hing Gardens,KWAI TSING
Tsuen Wan West,714,23000,2022-04-05 00:00:00,H,32.21,Vision City,TSUEN WAN
Sha Tin,283,12000,2022-04-05 00:00:00,L,42.4,Hilton Plaza,SHA TIN
