District,SA (ft2),Price(HK$),Date,Floor,Price/ft2(SA),Estate,District1
Tai Wai,784,24000,2022-04-27 00:00:00,M,30.61,Festival City,SHA TIN
Kai Tak New Area,512,18300,2022-04-27 00:00:00,M,35.74,Summit,YAU TSIM MONG
Kai Tak New Area,332,15000,2022-04-27 00:00:00,M,45.18,Upper Riverbank,CENTRAL & WESTERN
Wan Chai,612,31500,2022-04-27 00:00:00,H,51.47,The Zenith,WAN CHAI
Yuen Long Station,445,15800,2022-04-27 00:00:00,H,35.51,Yoho Town,YUEN LONG
Mid-Levels West,283,17500,2022-04-26 00:00:00,L,61.84,The Richmond,CENTRAL & WESTERN
Tai Po Town Centre,342,10500,2022-04-26 00:00:00,M,30.7,Fortune Plaza,TAI PO
Mei Foo,558,23000,2022-04-26 00:00:00,H,41.22,Manhattan Hill,SHAM SHUI PO
Pak Shek Kok | Tai Po Mid-levels,257,12000,2022-04-26 00:00:00,H,46.69,Solaria,TAI PO
Tsim Sha Tsui,457,22000,2022-04-26 00:00:00,L,48.14,The Victoria Towers,YAU TSIM MONG
Sai Wan Ho,503,22000,2022-04-26 00:00:00,H,43.74,Grand Promenade,EASTERN
Four Little Dragons,445,18000,2022-04-26 00:00:00,L,40.45,The Pacifica,SHAM SHUI PO
Tseung Kwan O,456,16300,2022-04-26 00:00:00,M,35.75,The Grandiose,SAI KUNG
Tiu Keng Leng,515,18000,2022-04-26 00:00:00,M,34.95,Ocean Shores,SAI KUNG
Tiu Keng Leng,511,18000,2022-04-26 00:00:00,M,35.23,Ocean Shores,SAI KUNG
Tuen Mun South,255,11000,2022-04-26 00:00:00,H,43.14,Regency Bay,TUEN MUN
Quarry Bay,290,14500,2022-04-26 00:00:00,M,50.0,Novum East,EASTERN
Tin Shui Wai,449,11500,2022-04-26 00:00:00,L,25.61,Kingswood Villas,YUEN LONG
Quarry Bay,371,11500,2022-04-26 00:00:00,M,31.0,Yick Fat Building,EASTERN
Tin Hau,507,21000,2022-04-26 00:00:00,L,41.42,Diva,WAN CHAI
Sai Wan Ho,499,22500,2022-04-26 00:00:00,H,45.09,Island Residence,EASTERN
Mid-Levels West,648,30000,2022-04-26 00:00:00,L,46.3,The Babington,CENTRAL & WESTERN
Mid-Levels West,763,28000,2022-04-26 00:00:00,L,36.7,Goldwin Heights,CENTRAL & WESTERN
Tuen Mun South,447,13500,2022-04-26 00:00:00,L,30.2,The Esplanade,TUEN MUN
Sheung Kwai Chung,383,12000,2022-04-25 00:00:00,H,31.33,Kwai Sing Centre,KWAI TSING
